Estado,Year,tipo_energia,geracao
Rio de Janeiro,2013,Solar,0
São Paulo,2013,Solar,2
Paraná,2013,Solar,0
Santa Catarina,2013,Solar,0
Rio G. do Sul,2013,Solar,0
Mato G. do Sul,2013,Solar,0
Mato Grosso,2013,Solar,0
Goiás,2013,Solar,0
Distrito Federal,2013,Solar,0
BRASIL,2013,Solar,2
BRASIL,2012,Solar,2
Rondônia,2012,Solar,0
Acre,2012,Solar,0
Amazonas,2012,Solar,0
Roraima,2012,Solar,0
Pará,2012,Solar,0
Amapá,2012,Solar,0
Tocantins,2012,Solar,0
Maranhão,2012,Solar,0
Piauí,2012,Solar,0
Ceará,2012,Solar,2
Rio G. do Norte,2012,Solar,0
Paraíba,2012,Solar,0
Pernambuco,2012,Solar,0
Alagoas,2012,Solar,0
Sergipe,2012,Solar,0
Bahia,2012,Solar,0
Minas Gerais,2012,Solar,0
Espírito Santo,2012,Solar,0
Rio de Janeiro,2012,Solar,0
São Paulo,2012,Solar,0
Paraná,2012,Solar,0
Santa Catarina,2012,Solar,0
Rio G. do Sul,2012,Solar,0
Mato G. do Sul,2012,Solar,0
Mato Grosso,2012,Solar,0
Goiás,2012,Solar,0
Distrito Federal,2012,Solar,0
BRASIL,2012,Solar,1
BRASIL,2011,Solar,1
Rondônia,2011,Solar,0
Acre,2011,Solar,0
Amazonas,2011,Solar,0
Roraima,2011,Solar,0
Pará,2011,Solar,0
Amapá,2011,Solar,0
Tocantins,2011,Solar,0
Maranhão,2011,Solar,0
Piauí,2011,Solar,0
Ceará,2011,Solar,1
Rio G. do Norte,2011,Solar,0
Paraíba,2011,Solar,0
Pernambuco,2011,Solar,0
Alagoas,2011,Solar,0
Sergipe,2011,Solar,0
Bahia,2011,Solar,0
Minas Gerais,2011,Solar,0
Espírito Santo,2011,Solar,0
Rio de Janeiro,2011,Solar,0
São Paulo,2011,Solar,0
Paraná,2011,Solar,0
Santa Catarina,2011,Solar,0
Rio G. do Sul,2011,Solar,0
Mato G. do Sul,2011,Solar,0
Mato Grosso,2011,Solar,0
Goiás,2011,Solar,0
Distrito Federal,2011,Solar,0
BRASIL,2023,Nuclear,"14,504"
Rondônia,2023,Nuclear,0
Acre,2023,Nuclear,0
Amazonas,2023,Nuclear,0
Roraima,2023,Nuclear,0
Pará,2023,Nuclear,0
Amapá,2023,Nuclear,0
Tocantins,2023,Nuclear,0
Maranhão,2023,Nuclear,0
Piauí,2023,Nuclear,0
Ceará,2023,Nuclear,0
Rio G. do Norte,2023,Nuclear,0
Paraíba,2023,Nuclear,0
Pernambuco,2023,Nuclear,0
Alagoas,2023,Nuclear,0
Sergipe,2023,Nuclear,0
Bahia,2023,Nuclear,0
Minas Gerais,2023,Nuclear,0
Espírito Santo,2023,Nuclear,0
Rio de Janeiro,2023,Nuclear,"14,504"
São Paulo,2023,Nuclear,0
Paraná,2023,Nuclear,0
Santa Catarina,2023,Nuclear,0
Rio G. do Sul,2023,Nuclear,0
Mato G. do Sul,2023,Nuclear,0
Mato Grosso,2023,Nuclear,0
Goiás,2023,Nuclear,0
Distrito Federal,2023,Nuclear,0
BRASIL,2023,Nuclear,"14,559"
BRASIL,2022,Nuclear,"14,559"
Rondônia,2022,Nuclear,0
Acre,2022,Nuclear,0
Amazonas,2022,Nuclear,0
Roraima,2022,Nuclear,0
Pará,2022,Nuclear,0
Amapá,2022,Nuclear,0
Tocantins,2022,Nuclear,0
Maranhão,2022,Nuclear,0
Piauí,2022,Nuclear,0
Ceará,2022,Nuclear,0
Rio G. do Norte,2022,Nuclear,0
Paraíba,2022,Nuclear,0
Pernambuco,2022,Nuclear,0
Alagoas,2022,Nuclear,0
Sergipe,2022,Nuclear,0
Bahia,2022,Nuclear,0
Minas Gerais,2022,Nuclear,0
Espírito Santo,2022,Nuclear,0
Rio de Janeiro,2022,Nuclear,"14,559"
São Paulo,2022,Nuclear,0
Paraná,2022,Nuclear,0
Santa Catarina,2022,Nuclear,0
Rio G. do Sul,2022,Nuclear,0
Mato G. do Sul,2022,Nuclear,0
Mato Grosso,2022,Nuclear,0
Goiás,2022,Nuclear,0
Distrito Federal,2022,Nuclear,0
BRASIL,2022,Nuclear,"14,705"
BRASIL,2021,Nuclear,"14,705"
Rondônia,2021,Nuclear,0
Acre,2021,Nuclear,0
Amazonas,2021,Nuclear,0
Roraima,2021,Nuclear,0
Pará,2021,Nuclear,0
Amapá,2021,Nuclear,0
Tocantins,2021,Nuclear,0
Maranhão,2021,Nuclear,0
Piauí,2021,Nuclear,0
Ceará,2021,Nuclear,0
Rio G. do Norte,2021,Nuclear,0
Paraíba,2021,Nuclear,0
Pernambuco,2021,Nuclear,0
Alagoas,2021,Nuclear,0
Sergipe,2021,Nuclear,0
Bahia,2021,Nuclear,0
Minas Gerais,2021,Nuclear,0
Espírito Santo,2021,Nuclear,0
Rio de Janeiro,2021,Nuclear,"14,705"
São Paulo,2021,Nuclear,0
Paraná,2021,Nuclear,0
Santa Catarina,2021,Nuclear,0
Rio G. do Sul,2021,Nuclear,0
Mato G. do Sul,2021,Nuclear,0
Mato Grosso,2021,Nuclear,0
Goiás,2021,Nuclear,0
Distrito Federal,2021,Nuclear,0
BRASIL,2021,Nuclear,"14,053"
BRASIL,2020,Nuclear,"14,053"
Rondônia,2020,Nuclear,0
Acre,2020,Nuclear,0
Amazonas,2020,Nuclear,0
Roraima,2020,Nuclear,0
Pará,2020,Nuclear,0
Amapá,2020,Nuclear,0
Tocantins,2020,Nuclear,0
Maranhão,2020,Nuclear,0
Piauí,2020,Nuclear,0
Ceará,2020,Nuclear,0
Rio G. do Norte,2020,Nuclear,0
Paraíba,2020,Nuclear,0
Pernambuco,2020,Nuclear,0
Alagoas,2020,Nuclear,0
Sergipe,2020,Nuclear,0
Bahia,2020,Nuclear,0
Minas Gerais,2020,Nuclear,0
Espírito Santo,2020,Nuclear,0
Rio de Janeiro,2020,Nuclear,"14,053"
São Paulo,2020,Nuclear,0
Paraná,2020,Nuclear,0
Santa Catarina,2020,Nuclear,0
Rio G. do Sul,2020,Nuclear,0
Mato G. do Sul,2020,Nuclear,0
Mato Grosso,2020,Nuclear,0
Goiás,2020,Nuclear,0
Distrito Federal,2020,Nuclear,0
BRASIL,2020,Nuclear,"16,129"
BRASIL,2019,Nuclear,"16,129"
Rondônia,2019,Nuclear,0
Acre,2019,Nuclear,0
Amazonas,2019,Nuclear,0
Roraima,2019,Nuclear,0
Pará,2019,Nuclear,0
Amapá,2019,Nuclear,0
Tocantins,2019,Nuclear,0
Maranhão,2019,Nuclear,0
Piauí,2019,Nuclear,0
Ceará,2019,Nuclear,0
Rio G. do Norte,2019,Nuclear,0
Paraíba,2019,Nuclear,0
Pernambuco,2019,Nuclear,0
Alagoas,2019,Nuclear,0
Sergipe,2019,Nuclear,0
Bahia,2019,Nuclear,0
Minas Gerais,2019,Nuclear,0
Espírito Santo,2019,Nuclear,0
Rio de Janeiro,2019,Nuclear,"16,129"
São Paulo,2019,Nuclear,0
Paraná,2019,Nuclear,0
Santa Catarina,2019,Nuclear,0
Rio G. do Sul,2019,Nuclear,0
Mato G. do Sul,2019,Nuclear,0
Mato Grosso,2019,Nuclear,0
Goiás,2019,Nuclear,0
Distrito Federal,2019,Nuclear,0
BRASIL,2019,Nuclear,"15,674"
BRASIL,2018,Nuclear,"15,674"
Rondônia,2018,Nuclear,0
Acre,2018,Nuclear,0
Amazonas,2018,Nuclear,0
Roraima,2018,Nuclear,0
Pará,2018,Nuclear,0
Amapá,2018,Nuclear,0
Tocantins,2018,Nuclear,0
Maranhão,2018,Nuclear,0
Piauí,2018,Nuclear,0
Ceará,2018,Nuclear,0
Rio G. do Norte,2018,Nuclear,0
Paraíba,2018,Nuclear,0
Pernambuco,2018,Nuclear,0
Alagoas,2018,Nuclear,0
Sergipe,2018,Nuclear,0
Bahia,2018,Nuclear,0
Minas Gerais,2018,Nuclear,0
Espírito Santo,2018,Nuclear,0
Rio de Janeiro,2018,Nuclear,"15,674"
São Paulo,2018,Nuclear,0
Paraná,2018,Nuclear,0
Santa Catarina,2018,Nuclear,0
Rio G. do Sul,2018,Nuclear,0
Mato G. do Sul,2018,Nuclear,0
Mato Grosso,2018,Nuclear,0
Goiás,2018,Nuclear,0
Distrito Federal,2018,Nuclear,0
BRASIL,2018,Nuclear,"15,739"
BRASIL,2017,Nuclear,"15,739"
Rondônia,2017,Nuclear,0
Acre,2017,Nuclear,0
Amazonas,2017,Nuclear,0
Roraima,2017,Nuclear,0
Pará,2017,Nuclear,0
Amapá,2017,Nuclear,0
Tocantins,2017,Nuclear,0
Maranhão,2017,Nuclear,0
Piauí,2017,Nuclear,0
Ceará,2017,Nuclear,0
Rio G. do Norte,2017,Nuclear,0
Paraíba,2017,Nuclear,0
Pernambuco,2017,Nuclear,0
Alagoas,2017,Nuclear,0
Sergipe,2017,Nuclear,0
Bahia,2017,Nuclear,0
Minas Gerais,2017,Nuclear,0
Espírito Santo,2017,Nuclear,0
Rio de Janeiro,2017,Nuclear,"15,739"
São Paulo,2017,Nuclear,0
Paraná,2017,Nuclear,0
Santa Catarina,2017,Nuclear,0
Rio G. do Sul,2017,Nuclear,0
Mato G. do Sul,2017,Nuclear,0
Mato Grosso,2017,Nuclear,0
Goiás,2017,Nuclear,0
Distrito Federal,2017,Nuclear,0
BRASIL,2017,Nuclear,"15,864"
BRASIL,2016,Nuclear,"15,864"
Rondônia,2016,Nuclear,0
Acre,2016,Nuclear,0
Amazonas,2016,Nuclear,0
Roraima,2016,Nuclear,0
Pará,2016,Nuclear,0
Amapá,2016,Nuclear,0
Tocantins,2016,Nuclear,0
Maranhão,2016,Nuclear,0
Piauí,2016,Nuclear,0
Ceará,2016,Nuclear,0
Rio G. do Norte,2016,Nuclear,0
Paraíba,2016,Nuclear,0
Pernambuco,2016,Nuclear,0
Alagoas,2016,Nuclear,0
Sergipe,2016,Nuclear,0
Bahia,2016,Nuclear,0
Minas Gerais,2016,Nuclear,0
Espírito Santo,2016,Nuclear,0
Rio de Janeiro,2016,Nuclear,"15,864"
São Paulo,2016,Nuclear,0
Paraná,2016,Nuclear,0
Santa Catarina,2016,Nuclear,0
Rio G. do Sul,2016,Nuclear,0
Mato G. do Sul,2016,Nuclear,0
Mato Grosso,2016,Nuclear,0
Goiás,2016,Nuclear,0
Distrito Federal,2016,Nuclear,0
BRASIL,2016,Nuclear,"14,734"
BRASIL,2015,Nuclear,"14,734"
Rondônia,2015,Nuclear,0
Acre,2015,Nuclear,0
Amazonas,2015,Nuclear,0
Roraima,2015,Nuclear,0
Pará,2015,Nuclear,0
Amapá,2015,Nuclear,0
Tocantins,2015,Nuclear,0
Maranhão,2015,Nuclear,0
Piauí,2015,Nuclear,0
Ceará,2015,Nuclear,0
Rio G. do Norte,2015,Nuclear,0
Paraíba,2015,Nuclear,0
Pernambuco,2015,Nuclear,0
Alagoas,2015,Nuclear,0
Sergipe,2015,Nuclear,0
Bahia,2015,Nuclear,0
Minas Gerais,2015,Nuclear,0
Espírito Santo,2015,Nuclear,0
Rio de Janeiro,2015,Nuclear,"14,734"
São Paulo,2015,Nuclear,0
Paraná,2015,Nuclear,0
Santa Catarina,2015,Nuclear,0
Rio G. do Sul,2015,Nuclear,0
Mato G. do Sul,2015,Nuclear,0
Mato Grosso,2015,Nuclear,0
Goiás,2015,Nuclear,0
Distrito Federal,2015,Nuclear,0
BRASIL,2015,Nuclear,"15,378"
BRASIL,2014,Nuclear,"15,378"
Rondônia,2014,Nuclear,0
Acre,2014,Nuclear,0
Amazonas,2014,Nuclear,0
Roraima,2014,Nuclear,0
Pará,2014,Nuclear,0
Amapá,2014,Nuclear,0
Tocantins,2014,Nuclear,0
Maranhão,2014,Nuclear,0
Piauí,2014,Nuclear,0
Ceará,2014,Nuclear,0
Rio G. do Norte,2014,Nuclear,0
Paraíba,2014,Nuclear,0
Pernambuco,2014,Nuclear,0
Alagoas,2014,Nuclear,0
Sergipe,2014,Nuclear,0
Bahia,2014,Nuclear,0
Minas Gerais,2014,Nuclear,0
Espírito Santo,2014,Nuclear,0
Rio de Janeiro,2014,Nuclear,"15,378"
São Paulo,2014,Nuclear,0
Paraná,2014,Nuclear,0
Santa Catarina,2014,Nuclear,0
Rio G. do Sul,2014,Nuclear,0
Mato G. do Sul,2014,Nuclear,0
Mato Grosso,2014,Nuclear,0
Goiás,2014,Nuclear,0
Distrito Federal,2014,Nuclear,0
BRASIL,2014,Nuclear,"15,450"
BRASIL,2013,Nuclear,"15,450"
Rondônia,2013,Nuclear,0
Acre,2013,Nuclear,0
Amazonas,2013,Nuclear,0
Roraima,2013,Nuclear,0
Pará,2013,Nuclear,0
Amapá,2013,Nuclear,0
Tocantins,2013,Nuclear,0
Maranhão,2013,Nuclear,0
Piauí,2013,Nuclear,0
Ceará,2013,Nuclear,0
Rio G. do Norte,2013,Nuclear,0
Paraíba,2013,Nuclear,0
Pernambuco,2013,Nuclear,0
Alagoas,2013,Nuclear,0
Sergipe,2013,Nuclear,0
Bahia,2013,Nuclear,0
Minas Gerais,2013,Nuclear,0
Espírito Santo,2013,Nuclear,0
Rio de Janeiro,2013,Nuclear,"15,450"
São Paulo,2013,Nuclear,0
Paraná,2013,Nuclear,0
Santa Catarina,2013,Nuclear,0
Rio G. do Sul,2013,Nuclear,0
Mato G. do Sul,2013,Nuclear,0
Mato Grosso,2013,Nuclear,0
Goiás,2013,Nuclear,0
Distrito Federal,2013,Nuclear,0
BRASIL,2013,Nuclear,"16,038"
BRASIL,2012,Nuclear,"16,038"
Rondônia,2012,Nuclear,0
Acre,2012,Nuclear,0
Amazonas,2012,Nuclear,0
Roraima,2012,Nuclear,0
Pará,2012,Nuclear,0
Amapá,2012,Nuclear,0
Tocantins,2012,Nuclear,0
Maranhão,2012,Nuclear,0
Piauí,2012,Nuclear,0
Ceará,2012,Nuclear,0
Rio G. do Norte,2012,Nuclear,0
Paraíba,2012,Nuclear,0
Pernambuco,2012,Nuclear,0
Alagoas,2012,Nuclear,0
Sergipe,2012,Nuclear,0
Bahia,2012,Nuclear,0
Minas Gerais,2012,Nuclear,0
Espírito Santo,2012,Nuclear,0
Rio de Janeiro,2012,Nuclear,"16,038"
São Paulo,2012,Nuclear,0
Paraná,2012,Nuclear,0
Santa Catarina,2012,Nuclear,0
Rio G. do Sul,2012,Nuclear,0
Mato G. do Sul,2012,Nuclear,0
Mato Grosso,2012,Nuclear,0
Goiás,2012,Nuclear,0
Distrito Federal,2012,Nuclear,0
BRASIL,2012,Nuclear,"15,659"
BRASIL,2011,Nuclear,"15,659"
Rondônia,2011,Nuclear,0
Acre,2011,Nuclear,0
Amazonas,2011,Nuclear,0
Roraima,2011,Nuclear,0
Pará,2011,Nuclear,0
Amapá,2011,Nuclear,0
Tocantins,2011,Nuclear,0
Maranhão,2011,Nuclear,0
Piauí,2011,Nuclear,0
Ceará,2011,Nuclear,0
Rio G. do Norte,2011,Nuclear,0
Paraíba,2011,Nuclear,0
Pernambuco,2011,Nuclear,0
Alagoas,2011,Nuclear,0
Sergipe,2011,Nuclear,0
Bahia,2011,Nuclear,0
Minas Gerais,2011,Nuclear,0
Espírito Santo,2011,Nuclear,0
Rio de Janeiro,2011,Nuclear,"15,658"
São Paulo,2011,Nuclear,0
Paraná,2011,Nuclear,0
Santa Catarina,2011,Nuclear,0
Rio G. do Sul,2011,Nuclear,0
Mato G. do Sul,2011,Nuclear,0
Mato Grosso,2011,Nuclear,0
Goiás,2011,Nuclear,0
Distrito Federal,2011,Nuclear,0
BRASIL,2023,Termelétrica,"121,186"
Rondônia,2023,Termelétrica,33
Acre,2023,Termelétrica,242
Amazonas,2023,Termelétrica,"8,283"
Roraima,2023,Termelétrica,"1,436"
Pará,2023,Termelétrica,"1,211"
Amapá,2023,Termelétrica,58
Tocantins,2023,Termelétrica,258
Maranhão,2023,Termelétrica,"6,869"
Piauí,2023,Termelétrica,86
Ceará,2023,Termelétrica,454
Rio G. do Norte,2023,Termelétrica,778
Paraíba,2023,Termelétrica,384
Pernambuco,2023,Termelétrica,"1,678"
Alagoas,2023,Termelétrica,"1,068"
Sergipe,2023,Termelétrica,151
Bahia,2023,Termelétrica,"4,692"
Minas Gerais,2023,Termelétrica,"8,298"
Espírito Santo,2023,Termelétrica,"8,684"
Rio de Janeiro,2023,Termelétrica,"21,899"
São Paulo,2023,Termelétrica,"25,448"
Paraná,2023,Termelétrica,"5,354"
Santa Catarina,2023,Termelétrica,"5,120"
Rio G. do Sul,2023,Termelétrica,"5,794"
Mato G. do Sul,2023,Termelétrica,"7,871"
Mato Grosso,2023,Termelétrica,"1,160"
Goiás,2023,Termelétrica,"3,879"
Distrito Federal,2023,Termelétrica,2
BRASIL,2023,Termelétrica,"123,742"
BRASIL,2022,Termelétrica,"123,742"
Rondônia,2022,Termelétrica,580
Acre,2022,Termelétrica,260
Amazonas,2022,Termelétrica,"7,966"
Roraima,2022,Termelétrica,"1,303"
Pará,2022,Termelétrica,"1,099"
Amapá,2022,Termelétrica,19
Tocantins,2022,Termelétrica,231
Maranhão,2022,Termelétrica,"6,457"
Piauí,2022,Termelétrica,53
Ceará,2022,Termelétrica,221
Rio G. do Norte,2022,Termelétrica,"1,022"
Paraíba,2022,Termelétrica,308
Pernambuco,2022,Termelétrica,"1,417"
Alagoas,2022,Termelétrica,856
Sergipe,2022,Termelétrica,944
Bahia,2022,Termelétrica,"5,401"
Minas Gerais,2022,Termelétrica,"7,247"
Espírito Santo,2022,Termelétrica,"8,653"
Rio de Janeiro,2022,Termelétrica,"25,325"
São Paulo,2022,Termelétrica,"24,110"
Paraná,2022,Termelétrica,"6,155"
Santa Catarina,2022,Termelétrica,"4,960"
Rio G. do Sul,2022,Termelétrica,"5,690"
Mato G. do Sul,2022,Termelétrica,"7,475"
Mato Grosso,2022,Termelétrica,"2,114"
Goiás,2022,Termelétrica,"3,876"
Distrito Federal,2022,Termelétrica,1
BRASIL,2022,Termelétrica,"189,548"
BRASIL,2021,Termelétrica,"189,548"
Rondônia,2021,Termelétrica,804
Acre,2021,Termelétrica,246
Amazonas,2021,Termelétrica,"9,750"
Roraima,2021,Termelétrica,"1,209"
Pará,2021,Termelétrica,"1,311"
Amapá,2021,Termelétrica,55
Tocantins,2021,Termelétrica,242
Maranhão,2021,Termelétrica,"13,632"
Piauí,2021,Termelétrica,55
Ceará,2021,Termelétrica,"7,281"
Rio G. do Norte,2021,Termelétrica,"1,517"
Paraíba,2021,Termelétrica,"2,062"
Pernambuco,2021,Termelétrica,"7,238"
Alagoas,2021,Termelétrica,875
Sergipe,2021,Termelétrica,"4,796"
Bahia,2021,Termelétrica,"7,019"
Minas Gerais,2021,Termelétrica,"10,185"
Espírito Santo,2021,Termelétrica,"10,712"
Rio de Janeiro,2021,Termelétrica,"45,726"
São Paulo,2021,Termelétrica,"27,297"
Paraná,2021,Termelétrica,"7,426"
Santa Catarina,2021,Termelétrica,"5,854"
Rio G. do Sul,2021,Termelétrica,"8,209"
Mato G. do Sul,2021,Termelétrica,"9,027"
Mato Grosso,2021,Termelétrica,"2,489"
Goiás,2021,Termelétrica,"4,523"
Distrito Federal,2021,Termelétrica,5
BRASIL,2021,Termelétrica,"143,018"
BRASIL,2020,Termelétrica,"143,018"
Rondônia,2020,Termelétrica,403
Acre,2020,Termelétrica,251
Amazonas,2020,Termelétrica,"9,531"
Roraima,2020,Termelétrica,"1,252"
Pará,2020,Termelétrica,"1,376"
Amapá,2020,Termelétrica,57
Tocantins,2020,Termelétrica,272
Maranhão,2020,Termelétrica,"9,375"
Piauí,2020,Termelétrica,62
Ceará,2020,Termelétrica,"3,470"
Rio G. do Norte,2020,Termelétrica,"1,428"
Paraíba,2020,Termelétrica,609
Pernambuco,2020,Termelétrica,"4,250"
Alagoas,2020,Termelétrica,961
Sergipe,2020,Termelétrica,"1,054"
Bahia,2020,Termelétrica,"4,981"
Minas Gerais,2020,Termelétrica,"8,737"
Espírito Santo,2020,Termelétrica,"7,731"
Rio de Janeiro,2020,Termelétrica,"27,442"
São Paulo,2020,Termelétrica,"27,254"
Paraná,2020,Termelétrica,"6,567"
Santa Catarina,2020,Termelétrica,"5,238"
Rio G. do Sul,2020,Termelétrica,"6,018"
Mato G. do Sul,2020,Termelétrica,"7,781"
Mato Grosso,2020,Termelétrica,"2,154"
Goiás,2020,Termelétrica,"4,757"
Distrito Federal,2020,Termelétrica,5
BRASIL,2020,Termelétrica,"149,682"
BRASIL,2019,Termelétrica,"149,682"
Rondônia,2019,Termelétrica,"2,905"
Acre,2019,Termelétrica,251
Amazonas,2019,Termelétrica,"9,157"
Roraima,2019,Termelétrica,"1,101"
Pará,2019,Termelétrica,"1,386"
Amapá,2019,Termelétrica,55
Tocantins,2019,Termelétrica,267
Maranhão,2019,Termelétrica,"9,185"
Piauí,2019,Termelétrica,61
Ceará,2019,Termelétrica,"7,643"
Rio G. do Norte,2019,Termelétrica,"1,578"
Paraíba,2019,Termelétrica,726
Pernambuco,2019,Termelétrica,"5,183"
Alagoas,2019,Termelétrica,813
Sergipe,2019,Termelétrica,170
Bahia,2019,Termelétrica,"5,495"
Minas Gerais,2019,Termelétrica,"9,293"
Espírito Santo,2019,Termelétrica,"7,119"
Rio de Janeiro,2019,Termelétrica,"29,804"
São Paulo,2019,Termelétrica,"26,908"
Paraná,2019,Termelétrica,"5,066"
Santa Catarina,2019,Termelétrica,"5,169"
Rio G. do Sul,2019,Termelétrica,"5,286"
Mato G. do Sul,2019,Termelétrica,"8,167"
Mato Grosso,2019,Termelétrica,"2,375"
Goiás,2019,Termelétrica,"4,515"
Distrito Federal,2019,Termelétrica,5
BRASIL,2019,Termelétrica,"144,815"
BRASIL,2018,Termelétrica,"144,815"
Rondônia,2018,Termelétrica,360
Acre,2018,Termelétrica,242
Amazonas,2018,Termelétrica,"7,923"
Roraima,2018,Termelétrica,301
Pará,2018,Termelétrica,"1,638"
Amapá,2018,Termelétrica,51
Tocantins,2018,Termelétrica,262
Maranhão,2018,Termelétrica,"9,756"
Piauí,2018,Termelétrica,60
Ceará,2018,Termelétrica,"7,062"
Rio G. do Norte,2018,Termelétrica,"1,713"
Paraíba,2018,Termelétrica,"1,203"
Pernambuco,2018,Termelétrica,"6,031"
Alagoas,2018,Termelétrica,801
Sergipe,2018,Termelétrica,163
Bahia,2018,Termelétrica,"6,944"
Minas Gerais,2018,Termelétrica,"8,475"
Espírito Santo,2018,Termelétrica,"7,532"
Rio de Janeiro,2018,Termelétrica,"30,015"
São Paulo,2018,Termelétrica,"26,298"
Paraná,2018,Termelétrica,"4,942"
Santa Catarina,2018,Termelétrica,"5,308"
Rio G. do Sul,2018,Termelétrica,"4,547"
Mato G. do Sul,2018,Termelétrica,"7,991"
Mato Grosso,2018,Termelétrica,810
Goiás,2018,Termelétrica,"4,384"
Distrito Federal,2018,Termelétrica,2
BRASIL,2018,Termelétrica,"158,111"
BRASIL,2017,Termelétrica,"158,111"
Rondônia,2017,Termelétrica,285
Acre,2017,Termelétrica,189
Amazonas,2017,Termelétrica,"5,988"
Roraima,2017,Termelétrica,120
Pará,2017,Termelétrica,"1,503"
Amapá,2017,Termelétrica,38
Tocantins,2017,Termelétrica,268
Maranhão,2017,Termelétrica,"11,582"
Piauí,2017,Termelétrica,31
Ceará,2017,Termelétrica,"10,167"
Rio G. do Norte,2017,Termelétrica,"2,248"
Paraíba,2017,Termelétrica,"1,625"
Pernambuco,2017,Termelétrica,"7,438"
Alagoas,2017,Termelétrica,760
Sergipe,2017,Termelétrica,181
Bahia,2017,Termelétrica,"7,298"
Minas Gerais,2017,Termelétrica,"9,032"
Espírito Santo,2017,Termelétrica,"6,944"
Rio de Janeiro,2017,Termelétrica,"36,827"
São Paulo,2017,Termelétrica,"27,650"
Paraná,2017,Termelétrica,"4,849"
Santa Catarina,2017,Termelétrica,"5,222"
Rio G. do Sul,2017,Termelétrica,"4,444"
Mato G. do Sul,2017,Termelétrica,"7,253"
Mato Grosso,2017,Termelétrica,"1,837"
Goiás,2017,Termelétrica,"4,329"
Distrito Federal,2017,Termelétrica,3
BRASIL,2017,Termelétrica,"148,549"
BRASIL,2016,Termelétrica,"148,549"
Rondônia,2016,Termelétrica,622
Acre,2016,Termelétrica,241
Amazonas,2016,Termelétrica,"6,123"
Roraima,2016,Termelétrica,144
Pará,2016,Termelétrica,"1,663"
Amapá,2016,Termelétrica,60
Tocantins,2016,Termelétrica,256
Maranhão,2016,Termelétrica,"12,573"
Piauí,2016,Termelétrica,29
Ceará,2016,Termelétrica,"9,307"
Rio G. do Norte,2016,Termelétrica,"2,234"
Paraíba,2016,Termelétrica,"1,329"
Pernambuco,2016,Termelétrica,"7,187"
Alagoas,2016,Termelétrica,824
Sergipe,2016,Termelétrica,173
Bahia,2016,Termelétrica,"7,277"
Minas Gerais,2016,Termelétrica,"8,303"
Espírito Santo,2016,Termelétrica,"8,293"
Rio de Janeiro,2016,Termelétrica,"29,795"
São Paulo,2016,Termelétrica,"26,030"
Paraná,2016,Termelétrica,"4,179"
Santa Catarina,2016,Termelétrica,"5,066"
Rio G. do Sul,2016,Termelétrica,"4,874"
Mato G. do Sul,2016,Termelétrica,"6,745"
Mato Grosso,2016,Termelétrica,"1,056"
Goiás,2016,Termelétrica,"4,164"
Distrito Federal,2016,Termelétrica,3
BRASIL,2016,Termelétrica,"185,325"
BRASIL,2015,Termelétrica,"185,325"
Rondônia,2015,Termelétrica,"1,926"
Acre,2015,Termelétrica,281
Amazonas,2015,Termelétrica,"7,949"
Roraima,2015,Termelétrica,175
Pará,2015,Termelétrica,"1,703"
Amapá,2015,Termelétrica,396
Tocantins,2015,Termelétrica,263
Maranhão,2015,Termelétrica,"11,080"
Piauí,2015,Termelétrica,44
Ceará,2015,Termelétrica,"12,027"
Rio G. do Norte,2015,Termelétrica,"3,074"
Paraíba,2015,Termelétrica,"3,195"
Pernambuco,2015,Termelétrica,"8,421"
Alagoas,2015,Termelétrica,762
Sergipe,2015,Termelétrica,238
Bahia,2015,Termelétrica,"9,218"
Minas Gerais,2015,Termelétrica,"9,805"
Espírito Santo,2015,Termelétrica,"8,890"
Rio de Janeiro,2015,Termelétrica,"39,403"
São Paulo,2015,Termelétrica,"29,690"
Paraná,2015,Termelétrica,"5,553"
Santa Catarina,2015,Termelétrica,"5,888"
Rio G. do Sul,2015,Termelétrica,"6,438"
Mato G. do Sul,2015,Termelétrica,"9,570"
Mato Grosso,2015,Termelétrica,"4,392"
Goiás,2015,Termelétrica,"4,928"
Distrito Federal,2015,Termelétrica,16
BRASIL,2015,Termelétrica,"189,498"
BRASIL,2014,Termelétrica,"189,498"
Rondônia,2014,Termelétrica,"2,088"
Acre,2014,Termelétrica,250
Amazonas,2014,Termelétrica,"7,480"
Roraima,2014,Termelétrica,226
Pará,2014,Termelétrica,"1,520"
Amapá,2014,Termelétrica,"1,197"
Tocantins,2014,Termelétrica,269
Maranhão,2014,Termelétrica,"12,720"
Piauí,2014,Termelétrica,128
Ceará,2014,Termelétrica,"12,157"
Rio G. do Norte,2014,Termelétrica,"3,268"
Paraíba,2014,Termelétrica,"3,285"
Pernambuco,2014,Termelétrica,"10,486"
Alagoas,2014,Termelétrica,920
Sergipe,2014,Termelétrica,245
Bahia,2014,Termelétrica,"10,314"
Minas Gerais,2014,Termelétrica,"9,628"
Espírito Santo,2014,Termelétrica,"8,694"
Rio de Janeiro,2014,Termelétrica,"38,823"
São Paulo,2014,Termelétrica,"29,442"
Paraná,2014,Termelétrica,"6,647"
Santa Catarina,2014,Termelétrica,"5,978"
Rio G. do Sul,2014,Termelétrica,"6,106"
Mato G. do Sul,2014,Termelétrica,"8,353"
Mato Grosso,2014,Termelétrica,"3,943"
Goiás,2014,Termelétrica,"5,328"
Distrito Federal,2014,Termelétrica,3
